latitude,longitude,dbscan_cluster,hdbscan_cluster
51.004211,-0.93468,0,-1
50.867995,0.554231,0,54
52.871769,-1.498166,0,94
51.533016,-0.219469,0,-1
52.480883,-1.795861,0,83
51.504003,-0.063181,0,-1
53.121977,-1.179263,0,97
51.644892,-0.047122,0,-1
54.535561,-1.559118,0,11
53.113072,-2.453328,0,67
51.660368,-3.014351,0,26
51.499402,-0.012847,0,-1
54.545868,-1.240008,0,13
51.73148,-3.484529,0,-1
52.45363,-1.876671,0,83
54.885131,-1.734775,0,-1
50.759765,-3.439622,0,17
51.629125,-0.754597,0,98
52.799768,-1.555713,0,84
51.632196,0.004049,0,-1
52.226579,-0.914871,0,55
52.626926,-1.067127,0,90
50.903726,-1.406845,0,63
51.549849,-0.069326,0,-1
51.068103,-4.09904,0,2
54.961557,-1.493092,0,20
51.523573,-2.616755,0,48
52.307724,-1.962672,0,82
50.844286,-1.196478,0,72
52.519976,-2.00143,0,83
51.015613,-3.148393,0,42
51.504759,-0.218683,0,137
51.419128,0.380684,0,124
53.501884,-1.340075,0,-1
53.190257,-2.454277,0,-1
54.890821,-2.924932,0,3
53.37639,-2.856611,0,96
50.95866,-1.518272,0,-1
52.193836,-2.218269,0,74
52.196277,-2.225377,0,74
51.276833,0.522001,0,104
53.672992,-1.764978,0,115
53.159883,-1.124758,0,-1
52.205177,-2.190097,0,74
51.051687,0.168657,0,-1
52.405756,-2.025136,0,83
53.77134,-2.40909,0,69
54.575223,-1.234852,0,13
51.512059,-0.118929,0,139
53.695656,-1.416168,0,-1
51.529686,-3.494216,0,-1
53.341841,-2.730219,0,81
51.607335,-0.019446,0,-1
52.339254,-0.650272,0,56
53.873573,-1.71286,0,-1
52.870493,-1.494096,0,94
51.713325,-3.443448,0,-1
51.749099,0.458588,0,75
51.682294,-4.160171,0,24
53.79641,-1.72787,0,120
54.22099,-1.658037,0,-1
53.162962,-2.195624,0,64
51.431839,-0.163314,0,-1
51.564872,-1.738598,0,22
50.722103,-3.506371,0,17
52.47435,-1.838247,0,83
52.628507,-1.132159,0,90
53.041737,-2.994514,0,68
51.400802,0.169346,0,-1
54.966398,-1.595572,0,16
52.569009,-0.244113,0,40
53.10165,-2.452491,0,67
53.793833,-1.753982,0,120
52.64752,-1.167139,0,90
53.012483,-1.353569,0,99
51.755454,-0.455071,0,109
54.132797,-0.345385,0,-1
51.544972,-0.136956,0,-1
51.603219,-3.357646,0,29
51.454852,-0.464823,0,-1
51.564764,-0.10553,0,-1
52.334267,-0.187949,0,41
52.610248,-1.969757,0,83
54.521245,-1.535064,0,11
51.452075,-1.277703,0,-1
51.365542,-0.091137,0,129
51.950011,-1.1986,0,23
51.569294,-3.003636,0,26
52.668314,-1.092346,0,90
54.137163,-1.525761,0,-1
51.561809,-0.238471,0,-1
52.335676,-0.546246,0,-1
53.758035,-0.272883,0,32
53.041866,-1.406525,0,-1
54.548325,-1.271298,0,13
53.548385,-1.170329,0,112
51.568631,-0.12456,0,-1
51.771169,-1.585877,0,23
53.961833,-2.016592,0,-1
50.925705,-1.366086,0,63
53.557607,-0.074458,0,30
51.570596,-0.019225,0,-1
53.824096,-3.038072,0,71
54.881435,-1.430287,0,19
52.687353,-1.801721,0,-1
51.631843,-3.956181,0,24
51.880686,0.933861,0,58
51.353437,-0.134597,0,-1
53.569687,-0.124095,0,30
53.811209,-1.51551,0,121
51.54461,-0.253744,0,130
51.347899,-0.490571,0,-1
53.74119,-2.482276,0,69
51.532448,-1.726314,0,22
52.925256,-1.491717,0,94
52.061668,1.19,0,52
51.502663,-0.113423,0,140
52.496695,-1.800413,0,83
51.443034,-2.559813,0,48
51.516178,-0.131904,0,139
53.789417,-1.790482,0,120
51.463173,-0.360736,0,126
53.005642,-1.128178,0,100
53.808352,-1.805042,0,120
54.600345,-1.058041,0,-1
53.690118,-2.459658,0,69
51.382078,-2.361061,0,47
51.473586,-3.176748,0,28
52.396553,-1.474091,0,86
53.793468,-1.5385,0,121
