cluster,crime_count,centroid_latitude,centroid_longitude,lsoa_name,lsoa_code
128,241,51.529200522821576,-0.0006637178423236514,Newham 039D,E01034220
66,240,53.74662099166667,-2.4434448124999997,Blackburn with Darwen 006D,E01012644
85,240,51.380475625,0.5291869416666667,Medway 015G,E01035297
62,238,52.374479378151264,-0.6892978529411764,North Northamptonshire 032E,E01035432
43,236,51.612231334745765,-3.0040964152542373,Newport 014D,W01001687
91,227,53.52447230396476,-1.132272114537445,Doncaster 022G,E01034238
17,210,53.56417835714286,-0.0861679761904762,North East Lincolnshire 002E,E01035473
28,209,51.573409679425836,-1.7831787559808614,Swindon 019E,E01032714
54,205,52.20981479512194,0.1354570487804878,Cambridge 007J,E01035517
132,204,51.51702785784314,-0.07963441666666667,Islington 023D,E01002704
104,198,51.56357864646465,0.5034988333333333,Basildon 018D,E01021316
103,189,51.54561736507936,0.7028159206349207,Southend-on-Sea 015B,E01015852
22,185,50.46671732432432,-3.5572821459459463,Torbay 008C,E01015256
102,184,51.15479823369565,-0.18216458152173912,Crawley 001C,E01031575
117,175,51.46399963428572,0.34095354857142857,Thurrock 022A,E01016011
112,174,53.6468713908046,-1.7908803678160918,Kirklees 029D,E01011107
67,174,53.814678287356315,-2.2255459195402296,Burnley 003D,E01024877
40,171,51.85438301169591,-2.242585076023392,Gloucester 004F,E01032937
51,171,51.311490122807015,1.0735678187134503,Canterbury 020F,E01032807
26,170,52.6793438,-2.4597351529411764,Telford and Wrekin 024C,E01014157
37,168,51.33894481547619,1.3908046250000001,Thanet 003A,E01024676
19,166,54.90417946385542,-1.4062817409638555,Sunderland 013B,E01008703
30,166,51.074819102409634,-3.0465723855421687,Sedgemoor 009E,E01029112
8,166,52.550315650602414,1.7238722530120483,Great Yarmouth 005C,E01026597
68,165,53.2262268,-2.9000114424242427,Cheshire West and Chester 034G,E01035376
47,164,51.88735915243902,0.9067834573170732,Colchester 007G,E01035158
56,164,52.13157638414634,-0.46947684756097563,Bedford 012A,E01017466
33,161,53.30649346583851,-3.6191488881987577,Denbighshire 004E,W01000240
99,160,53.56034131875,-1.46398945625,Barnsley 013B,E01007340
113,159,51.50989020754717,-0.6046154213836479,Slough 016D,E01016456
50,157,50.78915595541402,0.28153416560509553,Eastbourne 010B,E01020911
107,156,51.764588153846155,-0.26425953205128205,Welwyn Hatfield 006C,E01023918
105,156,53.70476968589743,-1.3421348525641026,Wakefield 015B,E01011837
23,155,50.71496878064516,-3.5057662322580647,Exeter 008F,E01034630
123,153,51.462523209150326,-0.02042275163398693,Lewisham 041B,E01033327
45,153,52.054601503267975,1.1596581503267973,Ipswich 007G,E01033125
24,150,53.958897033333336,-1.0869528533333332,York 013I,E01033070
93,149,53.13769624161074,-1.2105990536912752,Mansfield 008F,E01028284
46,148,51.10634341216216,1.2156297027027028,Folkestone and Hythe 014C,E01033212
110,147,53.68130711564626,-1.5090399659863947,Wakefield 017E,E01034264
9,145,54.68412551724138,-1.2205841655172414,Hartlepool 015B,E01011974
10,144,54.65861302083333,-1.6208304722222222,County Durham 055A,E01020868
